arm,domain,regime,concurrency,output_tok_s,cost_per_1M_output_tokens_USD,h200_usd_per_hr
separate-draft-1.7B,structured-JSON,8K,25,747.8509058938423,1.6603131143935816,4.47
separate-draft-1.7B,structured-JSON,8K,41,793.6588751929972,1.5644840692605189,4.47
baseline,conversational,128K,1,100.37706111952586,12.370024115252077,4.47
baseline,conversational,128K,4,308.18184639885044,4.02900651409459,4.47
baseline,code,128K,1,100.35589477770532,12.372633111557992,4.47
baseline,code,128K,4,308.24546323820516,4.028174992821012,4.47
baseline,summarization-short,128K,1,82.85233401544396,14.986501966682264,4.47
baseline,summarization-short,128K,4,186.48586333373285,6.658234809169394,4.47
baseline,summarization-long,128K,1,90.71427469935495,13.687665704011808,4.47
baseline,summarization-long,128K,4,234.63124178448103,5.291992051967195,4.47
baseline,structured-JSON,128K,1,101.88563011726386,12.186867424165582,4.47
baseline,structured-JSON,128K,4,322.4687300285376,3.8505025481285653,4.47
n-gram,conversational,128K,1,126.09632660077872,9.846969377607536,4.47
n-gram,conversational,128K,4,281.4007034390722,4.412450471842931,4.47
n-gram,code,128K,1,122.3512762162633,10.148375277033855,4.47
n-gram,code,128K,4,344.3274784653734,3.6060632517643585,4.47
n-gram,summarization-short,128K,1,97.27243057148522,12.764836443088257,4.47
n-gram,summarization-short,128K,4,196.81368839587864,6.308843032142817,4.47
n-gram,summarization-long,128K,1,118.18998053951876,10.505684669704257,4.47
n-gram,summarization-long,128K,4,247.40324192693083,5.018797073942087,4.47
n-gram,structured-JSON,128K,1,134.70359586142646,9.217769271311846,4.47
n-gram,structured-JSON,128K,4,358.24446092330334,3.4659758966447645,4.47
EAGLE3,conversational,128K,1,94.18591268700328,13.183146303343136,4.47
EAGLE3,conversational,128K,4,250.68290424757072,4.953136594589694,4.47
EAGLE3,code,128K,1,95.12520372090881,13.052972483608404,4.47
EAGLE3,code,128K,4,286.68138277009473,4.331173007011851,4.47
EAGLE3,summarization-short,128K,1,75.86282837008902,16.367260400697468,4.47
EAGLE3,summarization-short,128K,4,176.60712852720795,7.030671281625965,4.47
EAGLE3,summarization-long,128K,1,72.14680211115095,17.210280017037036,4.47
EAGLE3,summarization-long,128K,4,184.1687663142047,6.7420045837104485,4.47
EAGLE3,structured-JSON,128K,1,95.4683750419716,13.006052172992176,4.47
EAGLE3,structured-JSON,128K,4,295.1153902423773,4.207393811779487,4.47
separate-draft,conversational,128K,1,131.86566292539572,9.41614851903601,4.47
separate-draft,conversational,128K,2,242.6491160449144,5.117128332900392,4.47
separate-draft,code,128K,1,128.48213271184684,9.664119363985133,4.47
separate-draft,code,128K,2,238.73958398013983,5.200924982636972,4.47
separate-draft,summarization-short,128K,1,89.99538115524379,13.797004365421456,4.47
separate-draft,summarization-short,128K,2,144.4594454944222,8.595261198857427,4.47
separate-draft,summarization-long,128K,1,108.86300726111361,11.405772244454576,4.47
separate-draft,summarization-long,128K,2,168.93929274660067,7.349780187188873,4.47
separate-draft,structured-JSON,128K,1,137.75032712579485,9.01389268958153,4.47
separate-draft,structured-JSON,128K,2,242.33156040581088,5.1238339099841514,4.47
